colonia,municipio,zona,costo_envio_mxn,confianza
Las Misiones,Querétaro,1,49,estimado
Las Rosas,Querétaro,4,109,estimado
Loma Dorada,Querétaro,2,69,estimado
Lomas de Carretas,Querétaro,3,89,estimado
Lomas de Casa Blanca,Querétaro,1,49,estimado
Los Héroes,El Marqués,5,129,estimado
Los Olvera,Corregidora,3,89,verificado
Menchaca,Querétaro,5,129,estimado
Milenio III,Querétaro,4,109,estimado
Moderna,Querétaro,1,49,estimado
Monte Blanco,Querétaro,4,109,estimado
Niños Héroes,Querétaro,3,89,estimado
Obrera,Querétaro,3,89,estimado
Paseos del Bosque,Corregidora,5,129,ajustado_conservador
Paseos del Pedregal,Querétaro,5,129,estimado
Pathé,Querétaro,4,109,estimado
Plaza del Parque,Querétaro,4,109,estimado
Prados de la Capilla,Querétaro,1,49,estimado
Puerta de San Rafael,Corregidora,5,129,ajustado_conservador
Puerta Real,Corregidora,5,129,ajustado_conservador
Quintas del Bosque,Corregidora,5,129,ajustado_conservador
Quintas del Marqués,Querétaro,2,69,estimado
Real del Bosque,Corregidora,5,129,ajustado_conservador
Real Solare,El Marqués,6,149,estimado
Rincón Colonial,Corregidora,5,129,ajustado_conservador
Rincón de Guadalupe,Corregidora,5,129,ajustado_conservador
Rincón de San Andrés,Querétaro,2,69,estimado
Rinconada Campestre,Corregidora,5,129,ajustado_conservador
Rinconada Morelos,Querétaro,2,69,estimado
Rubén Jaramillo,Querétaro,4,109,estimado
San Andrés,Querétaro,1,49,estimado
San Ángel (Casa Blanca),Querétaro,1,49,estimado
San Antonio de la Punta,Querétaro,5,129,estimado
San Francisco Juriquilla,Querétaro,6,149,estimado
San Francisquito,Querétaro,3,89,estimado
San Javier,Querétaro,2,69,estimado
San José de los Perales,Querétaro,3,89,estimado
San Marcos,Querétaro,4,109,estimado
San Marcos I,Querétaro,4,109,estimado
San Pablo,Querétaro,5,129,estimado
San Pablo I (INFONAVIT),Querétaro,5,129,estimado
San Pablo II (INFONAVIT),Querétaro,5,129,estimado
San Pablo III (INFONAVIT),Querétaro,5,129,estimado
San Pablo IV (INFONAVIT),Querétaro,5,129,estimado
San Pablo Tecnológico,Querétaro,5,129,estimado
San Pedrito Ecológico,Querétaro,5,129,estimado
San Pedrito Los Arcos,Querétaro,5,129,estimado
San Pedrito Peñuelas I,Querétaro,5,129,estimado
San Pedrito Peñuelas II,Querétaro,5,129,estimado
San Pedrito Peñuelas III,Querétaro,5,129,estimado
San Pedrito Peñuelas IV,Querétaro,5,129,estimado
San Pedro Mártir,Querétaro,4,109,estimado
San Sebastián,Querétaro,5,129,estimado
Santa Bárbara,Corregidora,5,129,ajustado_conservador
Santa Fe Juriquilla,Querétaro,6,149,estimado
Santa Mónica,Querétaro,5,129,estimado
Santa Mónica 1a Sección,Querétaro,5,129,estimado
Santa Mónica 2a Sección,Querétaro,5,129,estimado
Santo Niño,Querétaro,5,129,estimado
Satélite,Querétaro,4,109,estimado
Satélite Sección Andadores,Querétaro,4,109,estimado
Satélite Sección Condominios,Querétaro,4,109,estimado
Seminario,Querétaro,2,69,estimado
Solidaridad 90,Querétaro,5,129,estimado
Sonterra,Querétaro,6,149,estimado
Tejas,Querétaro,3,89,estimado
Tejeda,Corregidora,5,129,ajustado_conservador
Tenochtitlán,Querétaro,4,109,estimado
Tenochtitlán II,Querétaro,4,109,estimado
Teotihuacán,Querétaro,4,109,estimado
Terrazas de San Pablo,Querétaro,5,129,estimado
Tierra Verde Juriquilla,Querétaro,6,149,estimado
Tres Cantos Residencial,Querétaro,6,149,estimado
Universidad,Querétaro,4,109,estimado
Universo 2000,Querétaro,1,49,estimado
Valle Alameda,Querétaro,3,89,estimado
Valle de Juriquilla,Querétaro,6,149,estimado
Valle de Juriquilla II,Querétaro,6,149,estimado
Valle de los Olivos,Corregidora,5,129,ajustado_conservador
Valle de San Pablo,Querétaro,5,129,estimado
Valle Encantado,Querétaro,4,109,estimado
Venceremos,Corregidora,5,129,ajustado_conservador
Villa Cayetano Rubio,Querétaro,3,89,estimado
Villa Los Arcos,Querétaro,2,69,estimado
Villas del Cimatario,Querétaro,1,49,estimado
Villas del Mesón,Querétaro,6,149,estimado
Villas del Rincón,Querétaro,1,49,estimado
Villas del Sur,Querétaro,3,89,estimado
Villas del Tule,Querétaro,5,129,estimado
Vista Alegre,Querétaro,2,69,estimado
Vista Alegre 2a Sección,Querétaro,2,69,estimado
Vista Alegre 3a Sección,Querétaro,2,69,estimado
Vista Azul,Querétaro,1,49,estimado
Vistas de San Pablo,Querétaro,5,129,estimado
Vistas del Cimatario,Querétaro,1,49,estimado
Vive,Querétaro,6,149,estimado
Zakía,El Marqués,6,149,estimado
Zapata Vive,Querétaro,1,49,estimado
Zibatá,El Marqués,6,149,estimado
__NO_LISTADA__,,,169,fallback_no_listada
__FORANEO__,,,250,fallback_foraneo
